category	wikidata_id	instances	first_edit	days	size	images	notes	issues	references	issue_clarify	discussion_size	incipit_size	totali	avg_pv	avg_pv_prev	VdQ	vetrina	Galleria_Commons	Pagina_su_Commons	article	article_wikipedia	website	unique_editors	latitude	longitude	visitors	public_private	staff	type	communication_expert	public_digital_archive	nonpublic_digital_archive	region
museo	Q100155225	edificio,museo d'arte moderna,,,,,,,	07-10-2020	1394.0	3823.0	1.0	2.0	0.0	0.0	0.0	0.0	117.0	7705	2	8	0	0	Palazzo dell'Acquedotto Pugliese (Bari)		Palazzo dell'Acquedotto Pugliese	Palazzo dell'Acquedotto Pugliese (Bari)	Nessun sito web	9	41.123444444444445	16.87413888888889		Privato (2017)	1 (2017)	Arte moderna e contemporanea (dal ‘900 ai giorni nostri) (2017)				Puglia
museo	Q101362367	museo,,,,,,,,	11-10-2020	1390.0	6902.0	0.0	13.0	0.0	0.0	0.0	0.0	342.0	266	0	0	0	0			Museo Civico di Manduria	Museo civico di Manduria	https://www.museocivicomanduria.it/	12	40.40125	17.63836								Puglia
museo	Q101405591	museo,palazzo,,,,,,,	09-10-2020	1392.0	9963.0	1.0	8.0	0.0	0.0	0.0	3126.0	385.0	5794	2	4	0	0	"Palazzo della cultura ""Pasquino Crupi"""		"Palazzo della cultura ""Pasquino Crupi"""	"Palazzo della cultura ""Pasquino Crupi"""	Nessun sito web	16	38.10462777777778	15.649397222222222								Calabria
museo	Q101405593	museo specializzato,museo,museo di un ente pubblico,,,,,,	04-11-2020	1366.0	3953.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	1846	1	2	0	0	Museo Nazionale Rossini		Museo Nazionale Rossini	Museo Nazionale Rossini	https://www.museonazionalerossini.it/	9	43.90957333101834	12.908090489846822	8287 (2022)	Pubblico (2022)	1 (2021)	Tematico e/o specializzato; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non ancora (2022)	No, non disponeva di beni da digitalizzare (2022)	Marche
museo	Q101405594	museo,,,,,,,,	06-11-2020	1364.0	2803.0	1.0	1.0	0.0	0.0	0.0	0.0	167.0	1294	0	1	0	0	Museo etnografico (Cagliari)		Museo etnografico	Museo etnografico (Cagliari)	http://www.isresardegna.it/index.php?xsl=565&s=16&v=9&c=9043&nodesc=1	5	Nessuna coordinata geografica	Nessuna coordinata geografica								Sardegna
museo	Q101405596	museo etnografico,museo specializzato,museo di un ente privato,,,,,,	07-11-2020	1363.0	4204.0	1.0	6.0	0.0	0.0	0.0	451.0	160.0	458	0	0	0	0			Museo della Valle del Lujo	Museo della Valle del Lujo	http://www.valledellujo.it/museo.html	23	45.748	9.867	500 (2022)	Privato (2022)	0 (2021)	Etnografia e antropologia; (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si una parte (2022)	Si una parte (2022)	Lombardia
museo	Q1014223	castello,edificio militare museo,parco storico museo,museo religioso,museo di un ente privato,,,,	03-12-2006	6451.0	7731.0	1.0	7.0	0.0	0.0	0.0	1865.0	446.0	90638	28	23	0	0	Taufers Castle		Castello di Tures	Castello di Tures	http://www.burgeninstitut.com	48	46.923289	11.948351	59701 (2022)	Privato (2022)	2 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2022)		Si interamente (2022)	Si una parte (2022)	Trentino-Alto Adige
museo	Q10285	anfiteatro romano,sito archeologico,attrazione turistica,stadio,manufatto archeologico museo,museo nazionale italiano,edificio civile storico museo,museo del Ministero della Cultura italiano,	18-02-2004	7470.0	60877.0	26.0	59.0	0.0	2.0	0.0	13461.0	3579.0	4822170	1467	1223	0	0	Colosseum	Colosseum	Colosseo	Colosseo	https://colosseo.it/area/colosseo/	1486	41.890277777778	12.492222222222	5832996 (2022)	Pubblico (2022)	21 (2021)	Manufatto archeologico (anfiteatro, statua, obelisco, etc.) (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si interamente (2022)	Si una parte (2022)	Lazio
museo	Q1031614	cimitero,museo,museo religioso,,,,,,	21-08-2006	6555.0	35527.0	11.0	7.0	1.0	0.0	0.0	6050.0	204.0	291064	89	99	0	0	Camposanto monumentale		Camposanto monumentale	Camposanto monumentale	Nessun sito web	138	43.724	10.39495	193341 (2021)	Privato (2021)	0 (2021)	Chiesa, edificio o complesso monumentale a carattere religioso (2021)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2021)	Si una parte (2021)	Toscana
museo	Q1041718	casa museo,museo d'arte,museo storico,museo archeologico,,,,,	19-03-2008	5979.0	10973.0	14.0	8.0	0.0	0.0	0.0	2975.0	233.0	92419	28	22	0	0	Villa San Michele (Capri)Villa San Michele		Villa San Michele	Villa San Michele (Capri)	https://www.villasanmichele.eu/	47	40.557222222222	14.225	. (2022)	Privato (2022)		Casa Museo, Casa della Memoria; (2022)				Campania
museo	Q104530950	museo specializzato,museo di un ente pubblico,,,,,,,	16-12-2020	1324.0	3202.0	1.0	3.0	0.0	0.0	0.0	0.0	787.0	146	0	0	0	0	Teatro Comunale Alice Zeppilli (Pieve di Cento) - Museo della Musica		Museo della Musica di Pieve di Cento	Museo della musica di Pieve di Cento	Nessun sito web	13	44.713493	11.306611	637 (2022)	Pubblico (2022)	0 (2021)	Tematico e/o specializzato; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)			Emilia-Romagna
museo	Q1046411	casa museo,museo storico,museo di un ente pubblico,,,,,,	15-11-2013	3912.0	3281.0	2.0	2.0	0.0	0.0	0.0	1982.0	1175.0	22583	7	7	0	0	Casa museo Giovanni Verga		Casa Museo Giovanni Verga	Casa museo Giovanni Verga	Nessun sito web	31	37.5018093	15.0838131	11079 (2022)	Pubblico (2022)	0 (2021)	Casa Museo, Casa della Memoria; (2022)	NO (2021)	Si una parte (2022)	Si una parte (2022)	Sicilia
museo	Q1047785	struttura architettonica,museo d'arte moderna,museo di un ente privato,,,,,,	10-11-2010	5013.0	5797.0	0.0	3.0	0.0	0.0	0.0	2981.0	183.0	5672	2	1	0	0			CAM Casoria Contemporary Art Museum	CAM Casoria Contemporary Art Museum	http://www.casoriacontemporaryartmuseum.com	34	40.91416667	14.29861111	4122 (2022)	Privato (2022)	0 (2021)	Arte moderna e contemporanea (dal ‘900 ai giorni nostri) (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si una parte (2022)		Campania
museo	Q104828061	torre,edificio militare museo,museo di un ente pubblico,,,,,,	28-01-2020	1647.0	6107.0	1.0	4.0	0.0	0.0	0.0	188.0	216.0	3946	1	4	0	0	Torre di Longonsardo		torre di Longonsardo	Torre di Longonsardo	Nessun sito web	8	41.2455	9.192527777777778	7057 (2022)	Pubblico (2022)	5 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	No, non disponeva di beni da digitalizzare (2022)	No, non disponeva di beni da digitalizzare (2022)	Sardegna
museo	Q1048623	castello,museo d'arte,museo storico,museo di un ente pubblico,,,,,	22-07-2006	6585.0	5122.0	3.0	0.0	0.0	0.0	0.0	0.0	396.0	114359	35	26	0	0	Castel Thun (Trentino)		Castel Thun	Castel Thun	http://www.buonconsiglio.it/index.php/it/castel-thun	51	46.273403	11.09037	58927 (2022)	Pubblico (2022)	9 (2021)	Arte (da medievale a tutto l’800) (2022)	NO (2021)	Si una parte (2022)	Si una parte (2022)	Trentino-Alto Adige
museo	Q1048826	castello,edificio militare museo,parco storico museo,,,,,,	26-06-2011	4785.0	18540.0	6.0	4.0	1.0	0.0	0.0	1690.0	1164.0	191197	58	51	0	0	Castello Orsini-Odescalchi (Bracciano)		Castello Orsini-Odescalchi	Castello Orsini-Odescalchi	http://www.odescalchi.it	103	42.104368	12.177765	34190 (2021)	Privato (2021)	2 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2021)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non ancora (2021)	No, non ancora (2021)	Lazio
museo	Q1048829	castello,edificio militare museo,parco storico museo,parco archeologico,museo di un ente pubblico,,,,	27-07-2007	6215.0	23142.0	15.0	26.0	0.0	0.0	0.0	3485.0	1064.0	69378	21	25	0	0	Castello a Mare in Palermo		Castello a Mare	Castello a Mare (Palermo)	Nessun sito web	65	38.122005	13.366799	5038 (2022)	Pubblico (2022)	1 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non disponeva di beni da digitalizzare (2022)	No, non disponeva di beni da digitalizzare (2022)	Sicilia
museo	Q1048836	castello,edificio militare museo,parco storico museo,museo d'arte,museo storico,museo di un ente pubblico,,,	15-10-2005	6865.0	53826.0	19.0	21.0	1.0	0.0	0.0	3262.0	426.0	340302	103	99	0	0	Castello Estense (Ferrara)		Castello Estense	Castello Estense	http://www.castelloestense.it	213	44.837628	11.619426	140000 (2022)	Pubblico (2022)	3 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2022)	NO (2021)	No, non disponeva di beni da digitalizzare (2022)	No, non disponeva di beni da digitalizzare (2022)	Emilia-Romagna
museo	Q1048860	castello,edificio militare museo,museo d'arte,museo storico,museo di un ente pubblico,,,,	09-06-2007	6263.0	7728.0	9.0	0.0	2.0	0.0	0.0	1104.0	737.0	86948	26	22	0	0	Castello di San Giusto	Castello di San Giusto	castello di San Giusto	Castello di San Giusto	https://castellodisangiustotrieste.it/	41	45.646902	13.773503	98885 (2022)	Pubblico (2022)	0 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2022)	NO (2021)	Si una parte (2022)	Si una parte (2022)	Friuli-Venezia Giulia
